fixture_id,fixture_event_name_pt,fixture_home_team,fixture_away_team,h2h_rank_recent,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,source_url
49,Bósnia & Herzegovina x Qatar,Bosnia and Herzegovina,Qatar,1,2010-08-10,Bosnia and Herzegovina,Qatar,1,1,Friendly,Sarajevo,Bosnia and Herzegovina,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
49,Bósnia & Herzegovina x Qatar,Bosnia and Herzegovina,Qatar,2,2000-01-24,Qatar,Bosnia and Herzegovina,2,0,Friendly,Doha,Qatar,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
50,Suíça x Canadá,Switzerland,Canada,1,2002-05-15,Switzerland,Canada,1,3,Friendly,St. Gallen,Switzerland,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
51,Escócia x Brasil,Scotland,Brazil,1,2011-03-27,Brazil,Scotland,2,0,Friendly,London,England,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
51,Escócia x Brasil,Scotland,Brazil,2,1998-06-10,Brazil,Scotland,2,1,FIFA World Cup,Saint-Denis,France,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
51,Escócia x Brasil,Scotland,Brazil,3,1990-06-20,Brazil,Scotland,1,0,FIFA World Cup,Turin,Italy,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
51,Escócia x Brasil,Scotland,Brazil,4,1987-05-26,Scotland,Brazil,0,2,Rous Cup,Glasgow,Scotland,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
51,Escócia x Brasil,Scotland,Brazil,5,1982-06-18,Brazil,Scotland,4,1,FIFA World Cup,Seville,Spain,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
53,República Tcheca x México,Czech Republic,Mexico,1,2000-02-08,Mexico,Czech Republic,1,2,Lunar New Year Cup,So Kon Po,Hong Kong,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
56,Equador x Alemanha,Ecuador,Germany,1,2013-05-29,Ecuador,Germany,2,4,Friendly,Boca Raton,United States,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
56,Equador x Alemanha,Ecuador,Germany,2,2006-06-20,Germany,Ecuador,3,0,FIFA World Cup,Berlin,Germany,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
57,Tunísia x Holanda,Tunisia,Netherlands,1,2009-02-11,Tunisia,Netherlands,1,1,Friendly,Radès,Tunisia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
57,Tunísia x Holanda,Tunisia,Netherlands,2,1994-01-19,Tunisia,Netherlands,2,2,Friendly,Tunis,Tunisia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
57,Tunísia x Holanda,Tunisia,Netherlands,3,1978-04-05,Tunisia,Netherlands,0,4,Friendly,Tunis,Tunisia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
58,Japão x Suécia,Japan,Sweden,1,2002-05-25,Japan,Sweden,1,1,Friendly,Tokyo,Japan,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
58,Japão x Suécia,Japan,Sweden,2,1997-02-13,Japan,Sweden,0,1,King's Cup,Bangkok,Thailand,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
58,Japão x Suécia,Japan,Sweden,3,1996-02-22,Japan,Sweden,1,1,Lunar New Year Cup,So Kon Po,Hong Kong,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
58,Japão x Suécia,Japan,Sweden,4,1995-06-10,Sweden,Japan,2,2,Friendly,Nottingham,England,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
59,Turquia x EUA,Turkey,United States,1,2025-06-07,United States,Turkey,1,2,Friendly,East Hartford,United States,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
59,Turquia x EUA,Turkey,United States,2,2014-06-01,United States,Turkey,2,1,Friendly,Harrison,United States,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
59,Turquia x EUA,Turkey,United States,3,2010-05-29,United States,Turkey,2,1,Friendly,Philadelphia,United States,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
59,Turquia x EUA,Turkey,United States,4,2003-06-19,Turkey,United States,2,1,Confederations Cup,Saint-Étienne,France,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
59,Turquia x EUA,Turkey,United States,5,1991-09-04,Turkey,United States,1,1,Friendly,Istanbul,Turkey,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
60,Paraguai x Austrália,Paraguay,Australia,1,2010-10-09,Australia,Paraguay,1,0,Friendly,Sydney,Australia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
