extra_time,goals_against,goals_for,match_date,match_name,opponent,penalty_shootout,result_after_match_rules,score,score_penalties,side,source,stage_name,team,year
0,2,0,2002-06-17,Brazil vs Belgium,Brazil,0,L,2–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Belgium,2002
0,1,0,2002-06-18,Japan vs Turkey,Turkey,0,L,0–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Japan,2002
0,2,1,2002-06-21,England vs Brazil,Brazil,0,L,1–2,0-0,home,jfjelstul/worldcup matches.csv,quarter-finals,England,2002
0,1,2,2002-06-21,England vs Brazil,England,0,W,1–2,0-0,away,jfjelstul/worldcup matches.csv,quarter-finals,Brazil,2002
0,0,1,2002-06-21,Germany vs United States,United States,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,quarter-finals,Germany,2002
0,1,0,2002-06-21,Germany vs United States,Germany,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,quarter-finals,United States,2002
1,0,0,2002-06-22,Spain vs South Korea,South Korea,1,L,0–0,3–5,home,jfjelstul/worldcup matches.csv,quarter-finals,Spain,2002
1,1,0,2002-06-22,Senegal vs Turkey,Turkey,0,L,0–1,0-0,home,jfjelstul/worldcup matches.csv,quarter-finals,Senegal,2002
0,0,1,2002-06-25,Germany vs South Korea,South Korea,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,semi-finals,Germany,2002
0,0,1,2002-06-26,Brazil vs Turkey,Turkey,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,semi-finals,Brazil,2002
0,2,0,2002-06-30,Germany vs Brazil,Brazil,0,L,0–2,0-0,home,jfjelstul/worldcup matches.csv,final,Germany,2002
0,0,2,2002-06-30,Germany vs Brazil,Germany,0,W,0–2,0-0,away,jfjelstul/worldcup matches.csv,final,Brazil,2002
0,2,1,2003-10-01,Brazil vs Sweden,Sweden,0,L,1–2,0-0,home,jfjelstul/worldcup matches.csv,quarter-final,Brazil,2003
0,1,2,2003-10-01,Brazil vs Sweden,Brazil,0,W,1–2,0-0,away,jfjelstul/worldcup matches.csv,quarter-final,Sweden,2003
0,0,1,2003-10-01,United States vs Norway,Norway,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,quarter-final,United States,2003
0,1,0,2003-10-01,United States vs Norway,United States,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,quarter-final,Norway,2003
0,1,7,2003-10-02,Germany vs Russia,Russia,0,W,7–1,0-0,home,jfjelstul/worldcup matches.csv,quarter-final,Germany,2003
0,0,1,2003-10-02,China vs Canada,China,0,W,0–1,0-0,away,jfjelstul/worldcup matches.csv,quarter-final,Canada,2003
0,3,0,2003-10-05,United States vs Germany,Germany,0,L,0–3,0-0,home,jfjelstul/worldcup matches.csv,semi-final,United States,2003
0,0,3,2003-10-05,United States vs Germany,United States,0,W,0–3,0-0,away,jfjelstul/worldcup matches.csv,semi-final,Germany,2003
0,1,2,2003-10-05,Sweden vs Canada,Canada,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,semi-final,Sweden,2003
0,2,1,2003-10-05,Sweden vs Canada,Sweden,0,L,2–1,0-0,away,jfjelstul/worldcup matches.csv,semi-final,Canada,2003
0,1,3,2003-10-11,United States vs Canada,Canada,0,W,3–1,0-0,home,jfjelstul/worldcup matches.csv,third-place match,United States,2003
0,3,1,2003-10-11,United States vs Canada,United States,0,L,3–1,0-0,away,jfjelstul/worldcup matches.csv,third-place match,Canada,2003
1,1,2,2003-10-12,Germany vs Sweden,Sweden,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,final,Germany,2003
1,2,1,2003-10-12,Germany vs Sweden,Germany,0,L,2–1,0-0,away,jfjelstul/worldcup matches.csv,final,Sweden,2003
0,0,2,2006-06-24,Germany vs Sweden,Sweden,0,W,2–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Germany,2006
0,2,0,2006-06-24,Germany vs Sweden,Germany,0,L,2–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Sweden,2006
1,1,2,2006-06-24,Argentina vs Mexico,Mexico,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Argentina,2006
1,2,1,2006-06-24,Argentina vs Mexico,Argentina,0,L,2–1,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Mexico,2006
0,0,1,2006-06-25,England vs Ecuador,Ecuador,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,England,2006
0,1,0,2006-06-25,England vs Ecuador,England,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Ecuador,2006
0,0,1,2006-06-25,Portugal vs Netherlands,Netherlands,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Portugal,2006
