away_score,away_team,captured_at,data_quality_notes,event_name,home_score,home_team,kickoff,match_no,source,source_url,stage_name,status
1,France,2026-07-10T13:57:27.696041+00:00,Official FIFA calendar JSON. Blank team means FIFA bracket slot not yet resolved.,Paraguay vs. France,0,Paraguay,2026-07-04T21:00:00Z,89,FIFA public calendar API all stages,https://api.fifa.com/api/v3/live/football/400021533,Round of 16,full_time
3,Morocco,2026-07-10T13:57:27.696038+00:00,Official FIFA calendar JSON. Blank team means FIFA bracket slot not yet resolved.,Canada vs. Morocco,0,Canada,2026-07-04T17:00:00Z,90,FIFA public calendar API all stages,https://api.fifa.com/api/v3/live/football/400021530,Round of 16,full_time
2,Norway,2026-07-10T13:57:27.696044+00:00,Official FIFA calendar JSON. Blank team means FIFA bracket slot not yet resolved.,Brazil vs. Norway,1,Brazil,2026-07-05T20:00:00Z,91,FIFA public calendar API all stages,https://api.fifa.com/api/v3/live/football/400021532,Round of 16,full_time
3,England,2026-07-10T13:57:27.696050+00:00,Official FIFA calendar JSON. Blank team means FIFA bracket slot not yet resolved.,Mexico vs. England,2,Mexico,2026-07-06T01:00:00Z,92,FIFA public calendar API all stages,https://api.fifa.com/api/v3/live/football/400021531,Round of 16,full_time
1,Spain,2026-07-10T13:57:27.696053+00:00,Official FIFA calendar JSON. Blank team means FIFA bracket slot not yet resolved.,Portugal vs. Spain,0,Portugal,2026-07-06T19:00:00Z,93,FIFA public calendar API all stages,https://api.fifa.com/api/v3/live/football/400021529,Round of 16,full_time
4,Belgium,2026-07-10T13:57:27.696055+00:00,Official FIFA calendar JSON. Blank team means FIFA bracket slot not yet resolved.,USA vs. Belgium,1,USA,2026-07-07T00:00:00Z,94,FIFA public calendar API all stages,https://api.fifa.com/api/v3/live/football/400021534,Round of 16,full_time
2,Egypt,2026-07-10T13:57:27.696058+00:00,Official FIFA calendar JSON. Blank team means FIFA bracket slot not yet resolved.,Argentina vs. Egypt,3,Argentina,2026-07-07T16:00:00Z,95,FIFA public calendar API all stages,https://api.fifa.com/api/v3/live/football/400021528,Round of 16,full_time
0,Colombia,2026-07-10T13:57:27.696061+00:00,Official FIFA calendar JSON. Blank team means FIFA bracket slot not yet resolved.,Switzerland vs. Colombia,0,Switzerland,2026-07-07T20:00:00Z,96,FIFA public calendar API all stages,https://api.fifa.com/api/v3/live/football/400021535,Round of 16,full_time
